well,Reservoir Name,Reservoir Type,Well Type,Production Type,Formation GOR,Watercut Trend,Oil Productivity Index
Well_#1,JANI,Undersat,GL,Unsteady,Combo,Incr,Decr
Well_#2,KEMA,Undersat,NF,Unsteady,Combo,Incr,Flat
Well_#3,MAKO,Saturated,GL,Steady,aSolGOR,Incr,Flat
Well_#4,DEPU,Saturated,GL,Steady,aSolGOR,Incr,Combo
Well_#5,MAKO,Saturated,NF,Unsteady,aSolGOR,Incr,Flat
Well_#6,KEMA,Undersat,NF,Steady,aSolGOR,Combo,Combo
Well_#7,KEMA,Undersat,GL,Unsteady,aSolGOR,Incr,Flat
Well_#8,ACHI,Undersat,GL,Steady,aSolGOR,Incr,Combo
Well_#9,DEPU,Saturated,GL,Steady,bSolGOR,Incr,Decr
Well_#10,JANI,Undersat,NF,Unsteady,Combo,Combo,Incr
Well_#11,ACHI,Undersat,GL,Steady,aSolGOR,Incr,Decr
Well_#12,ACHI,Undersat,NF,Steady,aSolGOR,Incr,Combo
Well_#13,DEPU,Saturated,NF,Steady,aSolGOR,Combo,Incr
Well_#14,MAKO,Saturated,NF,Steady,bSolGOR,Incr,Decr
Well_#15,JANI,Undersat,NF,Steady,Combo,Combo,Flat
Well_#16,KEMA,Undersat,NF,Steady,aSolGOR,Combo,Combo
Well_#17,DEPU,Saturated,GL,Steady,bSolGOR,Incr,Decr
Well_#18,ACHI,Undersat,NF,Steady,aSolGOR,Incr,Combo
Well_#19,JANI,Undersat,NF,Unsteady,Combo,Incr,Incr
Well_#20,MAKO,Saturated,GL,Steady,aSolGOR,Incr,Decr
